,Title,Label,Type,Price,Location,Baths,Area,Purpose,Bedroom(s),Added,Description,Main Features,Rooms,Business and Communication,Healthcare Recreational,Nearby Locations and Other Facilities,Other Facilities,Popular,Source,Time Stamp
386,Double Storey House For Sale In Gulistan E Jauhar Block 15,"Gulistan-e-Jauhar - Block 15, Gulistan-e-Jauhar, Karachi, Sindh",House,PKR   4.65 Crore,"Gulistan-e-Jauhar, Karachi, Sindh",8,16 Marla,For Sale,8,6 days ago,G+2 Double Storey House For Sale In Gulistan E Jauhar Block 15 Good LocationBest for LivingIt is right time and right place to invest your moneyInterested Buyers are welcomeContact us for more details," Parking Spaces , Flooring , Floors: 2"," Bedrooms: 8 , Bathrooms: 8 , Lounge or Sitting Room", , , , ,hot,Karachi-2-22,5/19/2019 0:32
387,G+1 House Is Available For Sale,"North Nazimabad - Block D, North Nazimabad, Karachi, Sindh",House,PKR   3.95 Crore,"North Nazimabad, Karachi, Sindh",6,16 Marla,For Sale,6,6 days ago,"Looking for a beautifully old construction House for Sale? We've got just that in store for you! The House, spread over 400 Square Yards, is located in , North Nazimabad - Block D, Karachi. Beautiful location Block D North Nazimabad It features 6 beds and 6 baths. The House is available at an attractive price of 3 crore 95 lac PKR (Pakistan). Feel free to call us for further details and do not forget to mention Zameen. com while calling."," Built in year: 15 , Parking Spaces: 2 , Double Glazed Windows , Central Air Conditioning , Central Heating , Flooring , Electricity Backup , Waste Disposal , Floors: 3 , Furnished"," Bedrooms: 3 , Bathrooms: 3 , Servant Quarters: 1 , Drawing Room , Dining Room , Study Room , Prayer Room , Powder Room  , Steam Room , Lounge or Sitting Room , Laundry Room"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom"," Lawn or Garden , Swimming Pool , Sauna , Jacuzzi", , ,hot,Karachi-2-22,5/19/2019 0:32
388,Single Storey House Is Available For Sale,"North Nazimabad - Block H, North Nazimabad, Karachi, Sindh",House,PKR   4.45 Crore,"North Nazimabad, Karachi, Sindh",3,14.6 Marla,For Sale,3,6 days ago,"Here's a great opportunity for you to have the property of your choice. If you are in search for a 365 Square Yards House for Sale, please feel free to call us. The House is located in , North Nazimabad - Block H, KarachiPrime location Near to chase & 5 star chowrangi Best for investment purposeReasonable demand and is ready to use. The House features spacious 3 beds. It has 3 baths featuring necessary fittings. The House is available for 4 crore 45 lac PKR (Pakistan). Please feel free to call us for further details and do not forget to mention Zameen. com while calling."," Built in year: 15 , Parking Spaces: 2 , Double Glazed Windows , Central Air Conditioning , Central Heating , Flooring , Electricity Backup , Waste Disposal , Floors: 3 , Furnished"," Bedrooms: 3 , Bathrooms: 3 , Servant Quarters: 1 , Drawing Room , Dining Room , Study Room , Prayer Room , Powder Room  , Steam Room , Lounge or Sitting Room , Laundry Room"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom"," Lawn or Garden , Swimming Pool , Sauna , Jacuzzi", , ,hot,Karachi-2-22,5/19/2019 0:32
389,4 Bed Room House Available For Sale In Bahria Town Sport City,"Bahria Sports City, Bahria Town Karachi, Karachi, Sindh",House,PKR   1.7 Crore,"Bahria Town Karachi, Karachi, Sindh",4,14 Marla,For Sale,4,6 days ago,"Bawany builder & Realtor is presenting a 4-bedroom home in Bahria Homes street 12 that reflects true comfort and practicality. With having major attractions like Grand Jamia Mosque and Bahria Dancing Fountain in close vicinity, Bahria Homes carries elegance and appeal to be a natural choice. Bahria Town Karachi is master planned community featuring a privileged lifestyle for its residents. Designed on a neighborhood concept, world-class facilities are provided here amongst major landmarks like Grand Jamia Mosque, USGA Golf Course, Rafi Cricket Stadium, replica of Taj Mahal and Bahria Dancing Fountain. Complementing all your needs for modern-day living, Bahria Town Karachi is an ultimate dream destination. Affordable luxury apartments in Bahria Heights and Bahria Tower are also available. We also have some beautiful villas for sale at reasonable price. For your property buying and selling needs, feel free to consult Bawany Builder & Realtor. We help you make the most out of every real estate transaction."," Built in year: 2018 , Parking Spaces , Flooring"," Bedrooms: 4 , Bathrooms: 4 , Servant Quarters , Drawing Room , Dining Room , Kitchens , Study Room , Prayer Room , Store Rooms , Lounge or Sitting Room , Laundry Room , Other Rooms", , Lawn or Garden," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service , Other Nearby Places"," Maintenance Staff , Security Staff , Facilities for Disabled , Other Facilities",hot,Karachi-2-22,5/19/2019 0:32
390,4 Beds Luxury Villa For Sale In Bahria Sport City,"Bahria Sports City, Bahria Town Karachi, Karachi, Sindh",House,PKR   2.25 Crore,"Bahria Town Karachi, Karachi, Sindh",4,14 Marla,For Sale,4,6 days ago,"DescriptionVilla For Sale. Location: Bahria Town. Having 4 Bed Rooms. Drawing Dining. Good Location. 100% Stadium Facing. Fully ready. With Extra land. Reasonable demand. Community Features :Master-planned gated communityAdvanced security & rescue servicesPakistan largest shopping mall5-star international hotel & USGA standard golf courseCommercial areasGold-Class cinemas State-of- the-art sports facilitiesWorld-class school, college and International UniversityInternational standard hospitalInternational theme park, play-land and water-ridesWonders of the world monuments (Eiffel Tower, Taj-Mahal and Statue of Liberty)Jamiah MosqueLandscaped parksCommunity sports club & zooInternational standard construction & infrastructureGrid station & telephone-exchange Transport system from Bahria Town to City Centre100 % backup power (No Load-shedding)Own Money Change as per Market A Master-Planned Community with World-Class Infrastructure and FacilitiesProject Attraction: Bahria Town signature facilities and modern infrastructureProject Type: Master-planned community Project Status: Possession Handover has been started. Ideal Location | Unbelievable Prices25 minutes from Jinnah International Airport, Connected through Malir Cantt via 6 lane expressway9Km from Super-Highway toll plaza20 minutes from City Centre via metro bus."," Built in year: 2019 , Parking Spaces: 2 , Double Glazed Windows , Central Heating , Flooring , Waste Disposal"," Bedrooms: 4 , Bathrooms: 4 , Servant Quarters: 1 , Drawing Room , Dining Room , Kitchens: 1 , Study Room , Prayer Room , Powder Room  , Store Rooms , Lounge or Sitting Room , Laundry Room", , ," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service , Other Nearby Places"," Maintenance Staff , Security Staff , Other Facilities",hot,Karachi-2-22,5/19/2019 0:32
391,200 Sq Yards 3 Bed Rooms Bahria Town Karachi Bahria Homes Available For Sale,"Bahria Homes - Iqbal Villas, Bahria Town - Precinct 2, Bahria Town Karachi, Karachi, Sindh",House,PKR   1 Crore,"Bahria Town Karachi, Karachi, Sindh",3,8 Marla,For Sale,3,6 days ago,"Universal Property Network (UPN) is one of the leading real estate agencies in Pakistan. We specialize in residential and commercial real estate and our offices are based in Bahria Town Lahore and Bahria Town Karachi. Our consultants are professionally trained and it gives us leverage in today’s challenging market. Having a proven track record, we help you make the most out of every real estate transaction. Bahria Town Karachi is master planned community featuring a privileged lifestyle for its residents. Designed on a neighborhood concept, world-class facilities are provided here among major landmarks like Grand Jamia Mosque, USGA Golf Course, Rafi Cricket Stadium, replica of Taj Mahal and Dancing Fountain. Complementing all your needs for modern-day living, Bahria Town Karachi is an ultimate dream destination. Bahria Town Karachi comes with world class amenities and some amazing tourist attractions like full size replica of Taj Mahal, Central Park, Carnival, Dancing Fountain, Eiffel Tower, Rafi Cricket Stadium and much morePlease note that more options of villas, apartments and plots are also available in different blocks of Bahria Town Karachi. Bahria Town Karachi is a master-planned gated community which promises the international standards of infrastructure and state-of-the-art amenities to its residents. Here are some of the features of Bahria Town Karachi• World class security with 24/7 Surveillance• Commercial areas, Gold-Class cinemas, International standard hospitals• State-of- the-art sports facilities, Community sports club & Zoo• World-class schools, colleges and International University• International theme park, Play-land and water-rides• Monuments of Wonders of the world like Eiffel Tower, Taj-Mahal and Statue of Liberty• Grand Jamia Mosque with capacity of about 1 million• 5-star international hotel & USGA standard golf course• Grid station & telephone-exchange• Transport system from Bahria Town to City Centre• 100 % backup power (No Load-shedding)Affordable luxury apartments in Bahria Heights and Bahria Tower are also available. We also have some beautiful villas for sale at reasonable price. UPN provides professional consultancy in real estate projects of Lahore, Karachi, Gwadar, Multan, Bahawalpur and many other cities in Pakistan. Please consult free with Universal Property Network (UPN) for your property buying and selling needs."," Parking Spaces , Double Glazed Windows , Central Air Conditioning , Central Heating , Flooring , Electricity Backup , Waste Disposal , Floors , Other Main Features"," Bedrooms: 3 , Bathrooms: 3 , Servant Quarters , Drawing Room , Dining Room , Kitchens , Study Room , Prayer Room , Powder Room  , Store Rooms , Steam Room , Lounge or Sitting Room", , , ," Maintenance Staff , Security Staff , Facilities for Disabled",hot,Karachi-2-22,5/19/2019 0:32
392,Amazing Offer 350 Sq Yd Villa Available In Sports City Villas,"Bahria Sports City, Bahria Town Karachi, Karachi, Sindh",House,PKR   1.07 Crore,"Bahria Town Karachi, Karachi, Sindh",4,14 Marla,For Sale,4,6 days ago,"Universal Property Network (UPN) is one of the leading real estate agencies in Pakistan. We specialize in residential and commercial real estate and our offices are based in Bahria Town Lahore and Bahria Town Karachi. Our consultants are professionally trained and it gives us leverage in today’s challenging market. Having a proven track record, we help you make the most out of every real estate transaction. Bahria Town Karachi is master planned community featuring a privileged lifestyle for its residents. Designed on a neighborhood concept, world-class facilities are provided here among major landmarks like Grand Jamia Mosque, USGA Golf Course, Rafi Cricket Stadium, replica of Taj Mahal and Dancing Fountain. Complementing all your needs for modern-day living, Bahria Town Karachi is an ultimate dream destination. Bahria Town Karachi comes with world class amenities and some amazing tourist attractions like full size replica of Taj Mahal, Central Park, Carnival, Dancing Fountain, Eiffel Tower, Rafi Cricket Stadium and much morePlease note that more options of villas, apartments and plots are also available in different blocks of Bahria Town Karachi. Bahria Town Karachi is a master-planned gated community which promises the international standards of infrastructure and state-of-the-art amenities to its residents. Here are some of the features of Bahria Town Karachi• World class security with 24/7 Surveillance• Commercial areas, Gold-Class cinemas, International standard hospitals• State-of- the-art sports facilities, Community sports club & Zoo• World-class schools, colleges and International University• International theme park, Play-land and water-rides• Monuments of Wonders of the world like Eiffel Tower, Taj-Mahal and Statue of Liberty• Grand Jamia Mosque with capacity of about 1 million• 5-star international hotel & USGA standard golf course• Grid station & telephone-exchange• Transport system from Bahria Town to City Centre• 100 % backup power (No Load-shedding)Affordable luxury apartments in Bahria Heights and Bahria Tower are also available. We also have some beautiful villas for sale at reasonable price. UPN provides professional consultancy in real estate projects of Lahore, Karachi, Gwadar, Multan, Bahawalpur and many other cities in Pakistan. Please consult free with Universal Property Network (UPN) for your property buying and selling needs."," Flooring , Electricity Backup , Waste Disposal , Furnished"," Bedrooms: 4 , Bathrooms: 4 , Servant Quarters , Drawing Room , Dining Room , Kitchens , Study Room , Prayer Room , Powder Room  , Steam Room , Laundry Room , Other Rooms", , , ," Maintenance Staff , Security Staff , Facilities for Disabled , Other Facilities",hot,Karachi-2-22,5/19/2019 0:32
393,Brand New Villa Is Available For Sale In Precinct 11-a,"Bahria Town - Precinct 11-A, Bahria Town - Precinct 11, Bahria Town Karachi, Karachi, Sindh",House,PKR   41 Lakh,"Bahria Town Karachi, Karachi, Sindh",3,5 Marla,For Sale,3,6 days ago,"Universal Property Network (UPN) Offers Best Investment OpportunitiesBahria Town Karachi has been a long awaited project due to the vacuum of a well planned housing scheme in the largest city of Pakistan. Karachi doesn't have any society that matches with the international standards of infrastructure and living. Bahria Town Karachi is located on Super Highway at around 9KM from Toll Plaza. The location is suitable for a mega housing scheme due to vast expanse of land required for the project. Bahria Town is offered dubbed as a city within a city, so we can say that Bahria Town is establishing a new city for Karachiites by using the miles of waste land on Super Highway. It is not too far from the main city, as you have easy access to Malir Cant. and Jinnah International Airport. Bahria Town Karachi consists of Residential and Commercial Plots, Bahria Homes and Bahria Apartments. Bahria Town is a pioneer in Pakistan to provide world class facilities to its residents. It provides not only the basic infrastructures but all some advanced features including own power generation, proper maintenance and security systems, provision of facilities for leisure activities and beautification of the society by constructing captivating monuments across all corners. Some of the salient features of Bahria Town Karachi are listed below:Master Planned and Gated CommunityLatest Security System and Rescue ServicesVast Commercial Area and Ultra modern Shopping MallsState-of-the-Art transport system (Metro Bus Service)Five Start hotel and USGA Standard Gold CourseGold Class Cinemas and Sports FacilitiesWorld Class Schools, College and Medical UniversityInternational Standard HospitalMosques, Landscape Parks in All PrecinctsZoo, Dolphin Arena and International Theme Park100% Backup Power (No Load-Shedding)Wonders of the World Mini Monuments (Statue of Liberty, Eiffel Tower, Taj Mahal etc))Bahria Town Karachi is a master-planned gated community which promises the international standards of infrastructure and state-of-the-art amenities to its residents. Here are some of the features of Bahria Town Karachi• World class security with 24/7 Surveillance• Commercial areas, Gold-Class cinemas, International standard hospitals• State-of- the-art sports facilities, Community sports club & Zoo• World-class schools, colleges and International University• International theme park, Play-land and water-rides• Monuments of Wonders of the world like Eiffel Tower, Taj-Mahal and Statue of Liberty• Grand Jamia Mosque with capacity of about 1 million• 5-star international hotel & USGA standard golf course• Grid station & telephone-exchange• Transport system from Bahria Town to City Centre• 100 % backup power (No Load-shedding)And much more…To get more information about this property and for other investment options in Bahria Projects, please contact Universal Property Network (UPN)"," Built in year: 2018 , Parking Spaces: 2 , Double Glazed Windows , Flooring , Electricity Backup , Waste Disposal , Floors: 2 , Other Main Features"," Bedrooms: 3 , Bathrooms: 3 , Servant Quarters: 1 , Drawing Room , Dining Room , Kitchens: 1 , Study Room , Prayer Room , Powder Room  , Gym , Store Rooms , Steam Room , Lounge or Sitting Room , Laundry Room , Other Rooms"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom , Other Business and Communication Facilities"," Lawn or Garden , Sauna , Jacuzzi , Other Healthcare and Recreation Facilities"," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service , Other Nearby Places"," Maintenance Staff , Security Staff , Facilities for Disabled , Other Facilities",hot,Karachi-2-22,5/19/2019 0:32
394,Extremely Affordable Price 200 Sq Yd Villa Available For Sale In Precinct 31,"Bahria Town - Precinct 31, Bahria Town Karachi, Karachi, Sindh",House,PKR   88 Lakh,"Bahria Town Karachi, Karachi, Sindh",3,8 Marla,For Sale,3,6 days ago,"Universal Property Network (UPN) is one of the leading real estate agencies in Pakistan. We specialize in residential and commercial real estate and our offices are based in Bahria Town Lahore and Bahria Town Karachi. Our consultants are professionally trained and it gives us leverage in today’s challenging market. Having a proven track record, we help you make the most out of every real estate transaction. Bahria Town Karachi is master planned community featuring a privileged lifestyle for its residents. Designed on a neighborhood concept, world-class facilities are provided here among major landmarks like Grand Jamia Mosque, USGA Golf Course, Rafi Cricket Stadium, replica of Taj Mahal and Dancing Fountain. Complementing all your needs for modern-day living, Bahria Town Karachi is an ultimate dream destination. Bahria Town Karachi comes with world class amenities and some amazing tourist attractions like full size replica of Taj Mahal, Central Park, Carnival, Dancing Fountain, Eiffel Tower, Rafi Cricket Stadium and much morePlease note that more options of villas, apartments and plots are also available in different blocks of Bahria Town Karachi. Bahria Town Karachi is a master-planned gated community which promises the international standards of infrastructure and state-of-the-art amenities to its residents. Here are some of the features of Bahria Town Karachi• World class security with 24/7 Surveillance• Commercial areas, Gold-Class cinemas, International standard hospitals• State-of- the-art sports facilities, Community sports club & Zoo• World-class schools, colleges and International University• International theme park, Play-land and water-rides• Monuments of Wonders of the world like Eiffel Tower, Taj-Mahal and Statue of Liberty• Grand Jamia Mosque with capacity of about 1 million• 5-star international hotel & USGA standard golf course• Grid station & telephone-exchange• Transport system from Bahria Town to City Centre• 100 % backup power (No Load-shedding)Affordable luxury apartments in Bahria Heights and Bahria Tower are also available. We also have some beautiful villas for sale at reasonable price. UPN provides professional consultancy in real estate projects of Lahore, Karachi, Gwadar, Multan, Bahawalpur and many other cities in Pakistan. Please consult free with Universal Property Network (UPN) for your property buying and selling needs."," Flooring , Electricity Backup , Furnished"," Bedrooms: 3 , Bathrooms: 3 , Drawing Room , Kitchens: 1 , Study Room , Prayer Room , Store Rooms: 1", Intercom, ," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service , Other Nearby Places"," Maintenance Staff , Security Staff , Facilities for Disabled",hot,Karachi-2-22,5/19/2019 0:32
395,550 yards nicely renovated house,"Clifton - Block 5, Clifton, Karachi, Sindh",House,PKR   13 Crore,"Clifton, Karachi, Sindh",7,1.1 Kanal,For Sale,5,6 days ago,"In the heart of block 5, 550 yards bunglow, prime and peaceful vicinity, good access, 2+3, drawing, dining, fully outclass renovated(original pictures), main and dirty kitchen, beautifully maintained green lawn, 3 parking spaces, servany quarter, guard room, washing area,"," Parking Spaces: 3 , Double Glazed Windows , Flooring , Electricity Backup"," Servant Quarters: 2 , Drawing Room , Dining Room , Kitchens: 2 , Powder Room  , Store Rooms: 2"," Broadband Internet Access , Satellite or Cable TV Ready", Lawn or Garden, , ,hot,Karachi-2-22,5/19/2019 0:32
396,Great Opportunity For You To Have The Property Of Your Choice,"Bahria Town - Precinct 35, Bahria Sports City, Bahria Town Karachi, Karachi, Sindh",House,PKR   1.6 Crore,"Bahria Town Karachi, Karachi, Sindh",4,14 Marla,For Sale,4,6 days ago,"A beautifully designed and constructed 350 Square Yards House in Bahria Town Karachi Precinct 35 villa Villa For Sale. Location: Bahria Town, Precinct 35 villas Location. Very prime location excellent view in General location full paid best It is sure to be a profitable deal for any genuine client. Community Features:Master-planned gated communityAdvanced security & rescue servicesPakistan largest shopping mall5-star international hotel & USGA standard golf courseCommercial areasGold-Class cinemas State-of- the-art sports facilitiesWorld-class school, college and International UniversityInternational standard hospitalInternational theme park, play-land and water-ridesWonders of the world monuments (Eiffel Tower, Taj-Mahal and Statue of Liberty)Jamiah MosqueLandscaped parksCommunity sports club & zooInternational standard construction & infrastructureGrid station & telephone-exchange Transport system from Bahria Town to City Center100 % backup power (No Load-shedding)Own Money Change as per Market A Master-Planned Community with World-Class Infrastructure and FacilitiesProject Attraction: Bahria Town signature facilities and modern infrastructureProject Type: Master-planned community Project Status: Possession Handover has been started. Ideal Location | Unbelievable Prices25 minutes from Jinnah International Airport, Connected through Malir Cantt via 6 lane expressway9Km from Super-Highway toll plaza20 minutes from City Center via metro bus. Contact us for more details. , Bahria Town - Precinct 35, Karachi is available for Sale. The House features 4 beds, finished with fine material and designed for a comfortable living experience. The 4 baths also come with fine fittings and high quality tiles. For a House that has addressed every tiny detail to offer the residents complete peace of mind, the price tag of 1 crore 60 lac PKR (Pakistan) is very reasonable and attracting lots of attention, so we suggest you hurry up and give us a call."," Flooring , Electricity Backup"," Bedrooms: 4 , Bathrooms: 4 , Servant Quarters: 1 , Drawing Room , Dining Room , Kitchens: 1", , , , ,hot,Karachi-2-22,5/19/2019 0:32
397,Great Opportunity For You To Have The Property Of Your Choice,"Bahria Town - Quaid Villas, Bahria Town - Precinct 2, Bahria Town Karachi, Karachi, Sindh",House,PKR   2 Crore,"Bahria Town Karachi, Karachi, Sindh",3,8 Marla,For Sale,3,6 days ago,"A well-built 200 Square Yards House is available for Sale in Bahria Town Karachi Precinct 2 Quaid villasVilla For Sale. Location: Bahria Town, Precinct 2 Quaid villas Location. Very prime location excellent view in General location full paid best It is sure to be a profitable deal for any genuine client. Community Features:Master-planned gated communityAdvanced security & rescue servicesPakistan largest shopping mall5-star international hotel & USGA standard golf courseCommercial areasGold-Class cinemas State-of- the-art sports facilitiesWorld-class school, college and International UniversityInternational standard hospitalInternational theme park, play-land and water-ridesWonders of the world monuments (Eiffel Tower, Taj-Mahal and Statue of Liberty)Jamiah MosqueLandscaped parksCommunity sports club & zooInternational standard construction & infrastructureGrid station & telephone-exchange Transport system from Bahria Town to City Center100 % backup power (No Load-shedding)Own Money Change as per Market A Master-Planned Community with World-Class Infrastructure and FacilitiesProject Attraction: Bahria Town signature facilities and modern infrastructureProject Type: Master-planned community Project Status: Possession Handover has been started. Ideal Location | Unbelievable Prices25 minutes from Jinnah International Airport, Connected through Malir Cantt via 6 lane expressway9Km from Super-Highway toll plaza20 minutes from City Center via metro bus. Contact us for more details. , Bahria Town - Quaid Villas, Karachi. The House features 3 beds with completely functional designs and set for immediate use. The House has 3 baths featuring all the necessary fittings. This beautifully built House is available for 2 crore PKR (Pakistan). If you need further details, please feel free to call us anytime. Do not forget to mention Zameen. com while calling."," Flooring , Electricity Backup"," Bedrooms: 3 , Bathrooms: 3 , Drawing Room , Dining Room , Kitchens: 1", , , , ,hot,Karachi-2-22,5/19/2019 0:32
398,Luxurious Architect Designed Brand New West Open Bungalow On Most Prime Location Of DHA,"DHA Phase 6, DHA Defence, Karachi, Sindh",House,PKR   16.5 Crore,"DHA Defence, Karachi, Sindh",7,1 Kanal,For Sale,6,2 days ago,"500 Sq. Yards Brand New west open Architect designed Bungalow With Basement on most prime location of khayaban-e-Rahat Street with close proximity to Khayaban-e-Ghazi  For Sale. A home of your dreams. Designed to perfection, each bungalow is a state of art and signature of a Master architect Suhail Shah. Key features:* 6 spacious bedrooms (2+4) with attached proportional sized conceptional designed modern bathrooms. * Huge Drawing and Dining rooms. * Fabulous layout on ground and first floor. * Red Marandi Wood* Shinning S. Abdullah tiled and wooden flooring. * Basement with a charming theater, recreational hall, a big lounge and separate entry for servant area there. * Modern stylish Blue Berry kitchens. * Fotile Appliances and Wellmax Accessories. * Full Basement with Cinema and GYM* Designed bathrooms with concepts and equipped with all beautiful/ imported fittings of Grohe Focets and fixtures. * Groohi fittings,Pakistan cable, CCTV Camera with DVR,* Panasonic PABX ,Intercom,*All lights and chandelier from crystal lights* Lush Green Lawn. * Car porch. * Guard room on car entry gate.  Also, the Bungalow  is located in the heart of a major area. This location is perfect for anyone and everyone as it is positioned close to major commercial areas, mosques, parks, famous restaurants making everyone's life very easy. Overall, the area exudes a sense of organized planning and disciplined construction,thus making it an excellent place to live in with your family. Give me a call for more preferences."," Built in year: 2019 , Parking Spaces: 3 , Double Glazed Windows , Flooring , Electricity Backup , Waste Disposal , Floors: 2 , Other Main Features"," Bedrooms: 6 , Bathrooms: 7 , Servant Quarters: 2 , Drawing Room , Dining Room , Kitchens: 3 , Prayer Room , Powder Room  , Gym , Store Rooms: 2 , Lounge or Sitting Room , Other Rooms"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom , Other Business and Communication Facilities", Lawn or Garden," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service , Other Nearby Places"," Maintenance Staff , Security Staff , Facilities for Disabled , Other Facilities",,Karachi-2-22,5/19/2019 0:32
399,House Is Available For Sale,"Bahria Town - Quaid Villas, Bahria Town - Precinct 2, Bahria Town Karachi, Karachi, Sindh",House,PKR   2.15 Crore,"Bahria Town Karachi, Karachi, Sindh",3,8 Marla,For Sale,3,2 days ago,"Bahria Town Karachi is a master-planned gated community which promises the international standards of infrastructure and state-of-the-art amenities to its residents. Here are some of the features of Bahria Town Karachi• World class security with 24/7 Surveillance• Commercial areas, Gold-Class cinemas, International standard hospitals• State-of- the-art sports facilities, Community sports club & Zoo• World-class schools, colleges and International University• International theme park, Play-land and water-rides• Monuments of Wonders of the world like Eiffel Tower, Taj-Mahal and Statue of Liberty• Grand Jamia Mosque with capacity of about 1 million• 5-star international hotel & USGA standard golf course• Grid station & telephone-exchange• Transport system from Bahria Town to City Centre• 100 % backup power (No Load-shedding"," Built in year: 2019 , Parking Spaces , Double Glazed Windows , Flooring , Electricity Backup , Waste Disposal , Floors , Other Main Features"," Bedrooms: 3 , Bathrooms: 3 , Servant Quarters , Drawing Room , Dining Room , Kitchens , Store Rooms , Other Rooms"," Broadband Internet Access , Other Business and Communication Facilities"," Lawn or Garden , Other Healthcare and Recreation Facilities"," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service , Other Nearby Places"," Maintenance Staff , Security Staff , Facilities for Disabled , Other Facilities",,Karachi-2-22,5/19/2019 0:32
400,Bahria town Vila For Sale P31,"Bahria Town - Precinct 31, Bahria Town Karachi, Karachi, Sindh",House,PKR   92 Lakh,"Bahria Town Karachi, Karachi, Sindh",4,8 Marla,For Sale,3,2 days ago,"http://www. alemaarah. com/Bahria Town Karachi is a master-planned gated community which promises the international standards of infrastructure and state-of-the-art amenities to its residents. Here are some of the features of Bahria Town Karachi• World class security with 24/7 Surveillance• Commercial areas, Gold-Class cinemas, International standard hospitals• State-of- the-art sports facilities, Community sports club & Zoo• World-class schools, colleges and International University• International theme park, Play-land and water-rides• Monuments of Wonders of the world like Eiffel Tower, Taj-Mahal and Statue of Liberty• Grand Jamia Mosque with capacity of about 1 million• 5-star international hotel & USGA standard golf course• Grid station & telephone-exchange• Transport system from Bahria Town to City Centre• 100 % backup power (No Load-shedding"," Built in year: 2019 , Parking Spaces , Double Glazed Windows , Flooring , Electricity Backup , Waste Disposal , Floors , Other Main Features"," Bedrooms: 3 , Bathrooms: 4 , Servant Quarters , Drawing Room , Dining Room , Kitchens , Store Rooms , Other Rooms"," Broadband Internet Access , Other Business and Communication Facilities"," Lawn or Garden , Other Healthcare and Recreation Facilities"," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service , Other Nearby Places"," Maintenance Staff , Security Staff , Facilities for Disabled , Other Facilities",,Karachi-2-22,5/19/2019 0:32
401,200 Yard Semi Corner West Open On 60 Feet Road In Precinct 23 A,"Bahria Town - Precinct 23-A, Bahria Town Karachi, Karachi, Sindh",House,PKR   77 Lakh,"Bahria Town Karachi, Karachi, Sindh",4,8 Marla,For Sale,4,2 days ago,"200 Sq Yard Villa In Precinct 23-ASemi Corner, Pure West open On 60 Feet Wide Road Near By Market, Masjid, Big Park. Prime Location of Precinct 23-ADemand 77 Lac OnlyBahria Town makes a mark in the landscape of Karachi with its world-class master planned community, “Bahria Town Karachi” This community is designed with a neighborhood concept to provide outstanding lifestyle facilities to its residents and will introduce new benchmarks of community development in KarachiGet In Touch For More Detail"," Parking Spaces , Double Glazed Windows , Central Air Conditioning , Flooring , Waste Disposal , Floors: 2 , Other Main Features , Furnished"," Bedrooms: 4 , Bathrooms: 4 , Servant Quarters: 1 , Drawing Room , Dining Room , Kitchens , Study Room , Prayer Room , Powder Room  , Gym , Store Rooms , Steam Room , Lounge or Sitting Room , Laundry Room , Other Rooms"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom , Other Business and Communication Facilities"," Lawn or Garden , Swimming Pool , Sauna , Jacuzzi , Other Healthcare and Recreation Facilities"," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service , Other Nearby Places"," Maintenance Staff , Security Staff , Facilities for Disabled , Other Facilities",,Karachi-2-22,5/19/2019 0:32
402,Drakhshan Villa For Sale 4 Beds Very Well Maintained At DHA Phase 5 Karachi,"DHA Phase 5, DHA Defence, Karachi, Sindh",House,PKR   5.65 Crore,"DHA Defence, Karachi, Sindh",5,14.4 Marla,For Sale,4,2 days ago,"Drakhshan villa for sale 1+3 Bed with attached washrooms1 bed roomKitchen and Drawing Dining on Ground, and 3Bed rooms on first floor260 yards construction area and100 yards Extra land servant quarterlush green lawn and parking as wellfor further details or visit contact Aljabal Estate"," Parking Spaces , Flooring , Floors"," Bedrooms: 4 , Bathrooms: 5 , Servant Quarters: 1 , Drawing Room , Dining Room , Kitchens: 1 , Study Room , Powder Room  , Store Rooms , Lounge or Sitting Room", , Lawn or Garden," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service , Other Nearby Places", ,,Karachi-2-22,5/19/2019 0:32
