,Title,Label,Type,Price,Location,Baths,Area,Purpose,Bedroom(s),Added,Description,Main Features,Rooms,Business and Communication,Healthcare Recreational,Nearby Locations and Other Facilities,Other Facilities,Popular,Source,Time Stamp
315,G-13 Brand New 40x80 Like A Palace Beautiful 8 Beds 8 Bath Double Unit House For Sale,"G-13, Islamabad, Islamabad Capital",House,PKR   3.85 Crore,"G-13, Islamabad, Islamabad Capital",8,14.2 Marla,For Sale,9,4 days ago,"G-13 Brand New 40x80 Like A Palace Beautiful House 8 Beds, 8 Baths With Cupboards, 2 Kitchens, 2 Drawing & Dining, 2 TV Lounge. Big Car Porch Own Water Bore Electric  Gas Meters Also Installed Out Class Marble Flooring Solid Diyar Woodwork Situated On 50 Feet Road Direct Approach To Double Road Sun Face Reasonable Price We Have Many More Options Please Contact."," Built in year: 2016 , Parking Spaces , Double Glazed Windows , Flooring , Electricity Backup , Waste Disposal , Floors: 3 , Other Main Features"," Bedrooms: 8 , Bathrooms: 8 , Servant Quarters: 1 , Drawing Room , Dining Room , Kitchens: 2 , Study Room , Prayer Room , Powder Room  , Store Rooms: 2 , Lounge or Sitting Room , Laundry Room"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom", Lawn or Garden," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service , Other Nearby Places"," Maintenance Staff , Security Staff , Other Facilities",hot,Islamabad-3-13,3/31/2019 23:24
316,House Is Available For Sale,"DHA Homes, DHA Valley, DHA Defence, Islamabad, Islamabad Capital",House,PKR   75 Lakh,"DHA Defence, Islamabad, Islamabad Capital",3,8 Marla,For Sale,3,4 days ago,"If you are in search of a 8 Marla House for sale in DHA Valley, DHA Home, Islamabad, please feel free to contact us. The House has 3 bed, ready to be occupied. You just need to shift your belongings here. . The House is available for Rs 7,500,000. Attach Bath, one Servant quarter, 2 car porch,You can call us for further details. Please mention add price"," Built in year: 2017 , Parking Spaces: 2 , Double Glazed Windows , Central Air Conditioning , Central Heating , Flooring , Electricity Backup , Waste Disposal , Floors: 2 , Other Main Features"," Bedrooms: 3 , Bathrooms: 3 , Servant Quarters: 1 , Drawing Room , Dining Room , Kitchens: 1 , Study Room , Prayer Room , Powder Room  , Gym , Store Rooms: 1 , Steam Room , Lounge or Sitting Room , Laundry Room , Other Rooms"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom , Other Business and Communication Facilities"," Lawn or Garden , Swimming Pool , Sauna , Jacuzzi", Distance From Airport (kms)," Maintenance Staff , Security Staff , Facilities for Disabled",hot,Islamabad-3-13,3/31/2019 23:24
317,6-Marla Brand new owner Build Double story House,"E-11/4, E-11, Islamabad, Islamabad Capital",House,PKR   2.75 Crore,"E-11, Islamabad, Islamabad Capital",4,6 Marla,For Sale,4,5 days ago,"Most Beautiful Brand new Double story House Soild wood work and construction Upper portion in coming rent:42,000/Near to Main road and Markaz Double unit House (Double Kitchen )its having 4-bedrooms with attach bathroom 2-Drawing2-lounge 2-kitchen servant quarter 2-Laundry area Store parking"," Built in year: 2019 , Parking Spaces: 1 , Double Glazed Windows , Flooring , Electricity Backup , Waste Disposal , Floors: 2"," Bedrooms: 4 , Bathrooms: 4 , Servant Quarters: 1 , Drawing Room , Kitchens: 2 , Store Rooms: 1 , Lounge or Sitting Room , Laundry Room"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom", ," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service"," Maintenance Staff , Security Staff , Facilities for Disabled",hot,Islamabad-3-13,3/31/2019 23:24
318,Gorgeous Bungalow On Top Heighted Location,"Bahria Garden City - Zone 1, Bahria Garden City, Bahria Town, Islamabad, Islamabad Capital",House,PKR   5.5 Crore,"Bahria Town, Islamabad, Islamabad Capital",6,1.4 Kanal,For Sale,5,1 day ago,"VIP Properties Offers:690 Sq. yd Outclass bungalow on top heighted location. Double Unit5 specious bed roomEye catching 6 washroomsLush designed American kitchenImported fittings in all washrooms and kitchens. Nicely wood workSpanish tileswide roadGolf viewNear to masjid, cinema, golf, commercial and park. 5 mint drive from GT road. Close to World trade Center."," Built in year: 2018 , Parking Spaces: 2 , Double Glazed Windows , Central Air Conditioning , Flooring , Electricity Backup , Floors: 2 , Other Main Features"," Bedrooms: 5 , Bathrooms: 6 , Servant Quarters: 1 , Drawing Room , Dining Room , Kitchens: 2 , Study Room , Prayer Room , Powder Room  , Store Rooms: 1 , Lounge or Sitting Room , Laundry Room"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom", Lawn or Garden," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service , Other Nearby Places"," Maintenance Staff , Security Staff",,Islamabad-3-13,3/31/2019 23:24
319,Amazing 10 Marla House,"Bahria Town, Islamabad, Islamabad Capital",House,PKR   2.05 Crore,"Bahria Town, Islamabad, Islamabad Capital",6,10 Marla,For Sale,5,1 day ago,"High Quality 10 Marla HouseAt the Center of Bahria Town. Newly constructed at a very peaceful locationSolid construction and Beautiful FinishingExcellent Woodwork, Quality Fittings And Stylish kitchensNear to Masjid, Park and CommercialThis house features:2 Independent portions5 Spacious bedrooms6 Luxury bathrooms1 Drawing room2 Stylish kitchens2 Living rooms2 Store rooms1 Servant room with attached bathEntrance lobby with stairsParking space for 3 cars. We are also providing construction servicesFor more options and visit please contact us. Bahria Town your lifestyle destination"," Built in year: 2019 , Parking Spaces: 3 , Flooring , Electricity Backup , Waste Disposal , Floors: 2 , Other Main Features"," Bedrooms: 5 , Bathrooms: 6 , Servant Quarters: 1 , Drawing Room , Dining Room , Kitchens: 2 , Powder Room  , Lounge or Sitting Room , Laundry Room , Other Rooms"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom", , ," Maintenance Staff , Security Staff , Facilities for Disabled",,Islamabad-3-13,3/31/2019 23:24
320,25x40 Beautifully House Is Avaible For Sale,"G-13/1, G-13, Islamabad, Islamabad Capital",House,PKR   1.6 Crore,"G-13, Islamabad, Islamabad Capital",5,4.4 Marla,For Sale,4,1 day ago,G-13/1 25 x 40 modern luxury House for sale*Situated near Kashmir Highway and metro station. * Water boring with 24/7 water supply* Water supply from FGHEF is even sufficient in the street* Imported washroom and kitchen with imported floor tiles in kitchen* SS railing in staircase and front elevation* Outclass imported woodwork* Modern lever sets in kitchen n washrooms* Near to masjid and market having Punjab cash n carryPrime Location. Reasonable Demand. For More Details And Option Please Contact Us.," Built in year: 2018 , Parking Spaces , Double Glazed Windows , Central Air Conditioning , Central Heating , Flooring , Electricity Backup , Waste Disposal , Floors: 2 , Other Main Features"," Bedrooms: 4 , Bathrooms: 5 , Servant Quarters , Drawing Room , Dining Room , Kitchens: 2 , Study Room , Prayer Room , Powder Room  , Gym , Store Rooms , Steam Room , Lounge or Sitting Room , Laundry Room , Other Rooms"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom , Other Business and Communication Facilities"," Lawn or Garden , Sauna , Jacuzzi , Other Healthcare and Recreation Facilities"," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service , Other Nearby Places"," Maintenance Staff , Security Staff , Other Facilities",,Islamabad-3-13,3/31/2019 23:24
321,Lilly A block 8 marla ready house for sale in dha valley,"DHA Homes, DHA Valley, DHA Defence, Islamabad, Islamabad Capital",House,PKR   66.8 Lakh,"DHA Defence, Islamabad, Islamabad Capital",4,8 Marla,For Sale,3,1 day ago,8 marla residential house ready to live in lilly block A street no 57 house no 2 for sale in dha valley islamabad its all dues clear ready to transfer in your name golden time investment in dha valley islamabad call for best offer Abbas Hussain , Flooring," Bedrooms: 3 , Bathrooms: 4 , Servant Quarters: 1 , Drawing Room , Dining Room , Kitchens: 1 , Store Rooms: 1 , Laundry Room"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom", Lawn or Garden, ," Maintenance Staff , Security Staff , Facilities for Disabled",,Islamabad-3-13,3/31/2019 23:24
322,Dha Valley Islamabad,"DHA Homes, DHA Valley, DHA Defence, Islamabad, Islamabad Capital",House,PKR   66 Lakh,"DHA Defence, Islamabad, Islamabad Capital",4,8 Marla,For Sale,3,1 day ago,"Sale and Purchase in Dha Valley IslamabadDha HomesReady to liveAll dues clearNo extra chargesDear valued clients we are offering you a golden chance of having your own home in the heart of Dha Islamabad. Dha Homes are beautifully designed Homes providing you a way of international standard of life style in neat and clean and fully secured place in the capital territory of Pakistan. Pioneers in the art of master-planned communities DHA Islamabad have designed the beautiful landscaped DHA Homes,Located adjacent to DHA Phase II Extension at DHA Islamabad. There is feeling of comfort and societal security encompassed within gated boundaries of community that is vibrant and secure in every sense of the living needs. DHA Homes are the coveted new address that offers you the incredible opportunity to live the lifestyle you’ve dreamed about for so many years. Each home comes with high quality fixtures and finishes. So why are you waiting for!Highlights & Attraction* Suitable Location* Reasonable Price* High-Profit Potential* Ideal To Own Or Invest* Master-planned Gated Community* World Class Infrastructure* Schools,International Standard Hospital,Mosque,Commercial Centers. For countless investment stay updated with us:Muhammad Yasir"," Double Glazed Windows , Central Air Conditioning , Central Heating , Flooring , Electricity Backup"," Bedrooms: 03 , Bathrooms: 04 , Servant Quarters: 01 , Drawing Room , Dining Room , Kitchens: 01 , Store Rooms: 01 , Lounge or Sitting Room , Laundry Room"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom", ," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service"," Maintenance Staff , Security Staff , Facilities for Disabled",,Islamabad-3-13,3/31/2019 23:24
323,DHA VALLEY A PROJECT OF DEFENSE HOUSING AUTHORITY ISLAMABAD,"DHA Homes, DHA Valley, DHA Defence, Islamabad, Islamabad Capital",House,PKR   36 Lakh,"DHA Defence, Islamabad, Islamabad Capital",2,5 Marla,For Sale,2,1 day ago,"Sale and Purchase in Dha Valley IslamabadDha HomesReady to liveAll dues clearNo extra chargesDear valued clients we are offering you a golden chance of having your own home in the heart of Dha Islamabad. Dha Homes are beautifully designed Homes providing you a way of international standard of life style in neat and clean and fully secured place in the capital territory of Pakistan. Pioneers in the art of master-planned communities DHA Islamabad have designed the beautiful landscaped DHA Homes,Located adjacent to DHA Phase II Extension at DHA Islamabad. There is feeling of comfort and societal security encompassed within gated boundaries of community that is vibrant and secure in every sense of the living needs. DHA Homes are the coveted new address that offers you the incredible opportunity to live the lifestyle you’ve dreamed about for so many years. Each home comes with high quality fixtures and finishes. So why are you waiting for!Highlights & Attraction* Suitable Location* Reasonable Price* High-Profit Potential* Ideal To Own Or Invest* Master-planned Gated Community* World Class Infrastructure* Schools,International Standard Hospital,Mosque,Commercial Centers. For countless investment stay updated with us:Muhammad Yasir"," Double Glazed Windows , Central Air Conditioning , Central Heating , Flooring , Electricity Backup"," Bedrooms: 02 , Bathrooms: 02 , Dining Room , Kitchens: 01 , Lounge or Sitting Room , Laundry Room"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom", ," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service"," Maintenance Staff , Security Staff , Facilities for Disabled",,Islamabad-3-13,3/31/2019 23:24
324,F-11  30x70 Good Location House For Sale,"F-11/3, F-11, Islamabad, Islamabad Capital",House,PKR   4.5 Crore,"F-11, Islamabad, Islamabad Capital",6,10 Marla,For Sale,5,1 day ago,30x70 House don t miss the chance to buy this stunning 30x70 bungalow located in one of the best locations of f 11 it has easy access to double road park school banks food mall the property comprises of 5 spacious bad room and 6 bath room more options available at reasonable price contact us, ," Drawing Room , Dining Room , Kitchens: 2 , Study Room , Prayer Room , Powder Room  , Gym , Lounge or Sitting Room , Laundry Room", ," Lawn or Garden , Sauna", , ,,Islamabad-3-13,3/31/2019 23:24
325,E-11/3 - House Is Available For Slae,"E-11/3, E-11, Islamabad, Islamabad Capital",House,PKR   6.5 Crore,"E-11, Islamabad, Islamabad Capital",7,18 Marla,For Sale,6,1 day ago,Don't Miss The Chance To Buy This Stunning 1 Kanal Bungalow Locations Of E 11/3 It Access To Main Margalla Road The Property Comprises Of Six  Spacious  Bed Room And Seven Bathrooms Living Space Dining Area And Kitchen This Amazing Property Will Be Ideal For You To Raise Amenities Include School Hospitals Restaurants And Malls Available At Reasonable Price  For More Information Call Us, Waste Disposal," Drawing Room , Dining Room , Study Room , Prayer Room , Powder Room "," Broadband Internet Access , Satellite or Cable TV Ready , Intercom"," Lawn or Garden , Swimming Pool , Sauna", Nearby Schools," Maintenance Staff , Security Staff , Facilities for Disabled",,Islamabad-3-13,3/31/2019 23:24
326,4 Marla Triple Story Proper Corner With Extra Land House Available In G13 Islamabad,"G-13, Islamabad, Islamabad Capital",House,PKR   1.5 Crore,"G-13, Islamabad, Islamabad Capital",5,4 Marla,For Sale,4,5 days ago,"Brand newgas , water bored electricity all facilities availablefirst time entryawesome location very near to park and main double roadsolid wood works imported ash wood used. proper tiles flooring through out the housecorolla car parking car parking . 2 independent units with double kitchen. very reasonable price demand as compared to the market . for further details please  feel free to contact us"," Built in year: 2018 , Parking Spaces: 2 , Double Glazed Windows , Central Air Conditioning , Central Heating , Flooring , Electricity Backup , Waste Disposal , Floors: 3 , Other Main Features"," Bedrooms: 4 , Bathrooms: 5 , Servant Quarters: 1 , Drawing Room , Dining Room , Kitchens: 2 , Study Room , Prayer Room , Powder Room  , Gym , Store Rooms: 1 , Steam Room , Lounge or Sitting Room , Laundry Room , Other Rooms"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom , Other Business and Communication Facilities"," Lawn or Garden , Swimming Pool , Sauna , Jacuzzi , Other Healthcare and Recreation Facilities"," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service , Other Nearby Places"," Maintenance Staff , Security Staff , Facilities for Disabled , Other Facilities",hot,Islamabad-3-14,3/31/2019 23:25
327,12 Marla Brand New Beautiful  Proper Corner With Extra Land House Available In G13 Islamabad,"G-13, Islamabad, Islamabad Capital",House,PKR   4.3 Crore,"G-13, Islamabad, Islamabad Capital",8,12 Marla,For Sale,7,5 days ago,"Brand newgas , water bored electricity all facilities availablefirst time entryawesome location very near to park and main double roadsolid wood works imported ash wood used. proper tiles flooring through out the housecorolla car parking car parking . 2 independent units with double kitchen. very reasonable price demand as compared to the market . for further details please  feel free to contact us"," Built in year: 2019 , Parking Spaces: 3 , Double Glazed Windows , Central Air Conditioning , Central Heating , Flooring , Electricity Backup , Waste Disposal , Floors: 2 , Other Main Features"," Bedrooms: 7 , Bathrooms: 8 , Servant Quarters: 1 , Drawing Room , Dining Room , Kitchens: 2 , Study Room , Prayer Room , Powder Room  , Gym , Store Rooms: 1 , Steam Room , Lounge or Sitting Room , Laundry Room , Other Rooms"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom , Other Business and Communication Facilities"," Lawn or Garden , Swimming Pool , Sauna , Jacuzzi , Other Healthcare and Recreation Facilities"," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service , Other Nearby Places"," Maintenance Staff , Security Staff , Facilities for Disabled , Other Facilities",hot,Islamabad-3-14,3/31/2019 23:25
328,30 x 60 Full House in CBR Housing Society is available for SALE,"CBR Town, Islamabad, Islamabad Capital",House,PKR   1.55 Crore,"CBR Town, Islamabad, Islamabad Capital",4,8 Marla,For Sale,4,5 days ago,"Specifications:Demand: --- --    PKR 15,500,000 /= Size: ---        (30 x 60)Society: -------    CBR Housing SocietyBlock: -----      Block C         Condition: ------     Brand NewBedrooms: ----       4Bathrooms: ----     4Mumty Room: -----     1Kitchens: -----       2Drawing Rooms: ----    2Living Rooms: --- 2Car Parking: ---- 2 CarsElectricity Meter: ------         InstalledGas Meter: ----         Installed For Further Details Please Contact Jawad Khan", Parking Spaces: 2," Bedrooms: 4 , Bathrooms: 4 , Drawing Room , Dining Room , Kitchens: 2 , Other Rooms", , , , ,hot,Islamabad-3-14,3/31/2019 23:25
329,30 x 60 Full House in CBR Housing Society is available for SALE,"CBR Town Phase 1 - Block C, CBR Town Phase 1, CBR Town, Islamabad, Islamabad Capital",House,PKR   1.4 Crore,"CBR Town, Islamabad, Islamabad Capital",4,8 Marla,For Sale,4,5 days ago,"Specifications:Demand: --- --    PKR 14,000,000 /= Size: ---        (30 x 60)Society: -------  CBR Housing SocietyBlock: -----      Block C         Condition: ------     Brand NewBedrooms: ----       4Bathrooms: ----     4Mumty Room: -----     1Kitchens: -----       2Drawing Rooms: ----    2Living Rooms: --- 2Car Parking: ---- 2 CarsElectricity Meter: ------         InstalledGas Meter: ----         Installed For Further Details Please Contact Jawad Khan", Parking Spaces: 2," Bedrooms: 4 , Bathrooms: 4 , Drawing Room , Dining Room , Kitchens: 2 , Other Rooms", , , , ,hot,Islamabad-3-14,3/31/2019 23:25
330,30 x70 Full House in Soan Garden Housing Society is available for SALE,"Soan Garden, Islamabad, Islamabad Capital",House,PKR   1.6 Crore,"Soan Garden, Islamabad, Islamabad Capital",4,9.3 Marla,For Sale,4,5 days ago,"Specifications:Demand: --- --    PKR 16,000,000 /= Size: ---        (30 x 70)Society: -------    Soan Garden Housing SocietyBlock: -----      Block B         Condition: ------     Brand NewBedrooms: ----      4Bathrooms: ----     4Mumty Room: -----     1Kitchens: -----       2Drawing Rooms: ----    2Living Rooms: --- 2Car Parking: ---- 2 CarsElectricity Meter: ------         InstalledGas Meter: ----         Installed For Further Details Please Contact Jawad Khan", Parking Spaces: 2," Bedrooms: 4 , Bathrooms: 4 , Drawing Room , Dining Room , Kitchens: 2 , Other Rooms", , , , ,hot,Islamabad-3-14,3/31/2019 23:25
331,12 Marla Brand New Beautiful House Available In G13 Islamabad,"G-13, Islamabad, Islamabad Capital",House,PKR   3.8 Crore,"G-13, Islamabad, Islamabad Capital",8,12 Marla,For Sale,7,5 days ago,"Brand newgas , water bored electricity all facilities availablefirst time entryawesome location very near to park and main double roadsolid wood works imported ash wood used. proper tiles flooring through out the housecorolla car parking car parking . 2 independent units with double kitchen. very reasonable price demand as compared to the market . for further details please  feel free to contact us"," Built in year: 2019 , Parking Spaces: 3 , Double Glazed Windows , Central Air Conditioning , Central Heating , Flooring , Electricity Backup , Waste Disposal , Floors: 2 , Other Main Features"," Bedrooms: 7 , Bathrooms: 8 , Servant Quarters: 1 , Drawing Room , Dining Room , Kitchens: 2 , Study Room , Prayer Room , Powder Room  , Gym , Store Rooms: 1 , Steam Room , Lounge or Sitting Room , Laundry Room , Other Rooms"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom , Other Business and Communication Facilities"," Lawn or Garden , Swimming Pool , Sauna , Jacuzzi , Other Healthcare and Recreation Facilities"," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service , Other Nearby Places"," Maintenance Staff , Security Staff , Facilities for Disabled , Other Facilities",hot,Islamabad-3-14,3/31/2019 23:25
332,10 Marla Brand New Beautiful House Available In G13 Islamabad Near By Market And Park Face,"G-13, Islamabad, Islamabad Capital",House,PKR   3.5 Crore,"G-13, Islamabad, Islamabad Capital",8,10 Marla,For Sale,7,5 days ago,"Brand newgas , water bored electricity all facilities availablefirst time entryawesome location very near to park and main double roadsolid wood works imported ash wood used. proper tiles flooring through out the housecorolla car parking car parking . 2 independent units with double kitchen. very reasonable price demand as compared to the market . for further details please  feel free to contact us"," Built in year: 2019 , Parking Spaces: 2 , Double Glazed Windows , Central Air Conditioning , Central Heating , Flooring , Electricity Backup , Waste Disposal , Floors: 2 , Other Main Features"," Bedrooms: 7 , Bathrooms: 8 , Servant Quarters: 1 , Drawing Room , Dining Room , Kitchens: 2 , Study Room , Prayer Room , Powder Room  , Gym , Store Rooms: 1 , Steam Room , Lounge or Sitting Room , Laundry Room , Other Rooms"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom , Other Business and Communication Facilities"," Lawn or Garden , Swimming Pool , Sauna , Jacuzzi , Other Healthcare and Recreation Facilities"," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service , Other Nearby Places"," Maintenance Staff , Security Staff , Facilities for Disabled , Other Facilities",hot,Islamabad-3-14,3/31/2019 23:25
333,8 Marla Beautiful House Available In G13 Islamabad,"G-13, Islamabad, Islamabad Capital",House,PKR   2.25 Crore,"G-13, Islamabad, Islamabad Capital",6,8 Marla,For Sale,5,5 days ago,"Brand newgas , water bored electricity all facilities availablefirst time entryawesome location very near to park and main double roadsolid wood works imported ash wood used. proper tiles flooring through out the housecorolla car parking car parking . 2 independent units with double kitchen. very reasonable price demand as compared to the market . for further details please  feel free to contact us"," Built in year: 2018 , Parking Spaces: 2 , Double Glazed Windows , Central Air Conditioning , Central Heating , Flooring , Electricity Backup , Waste Disposal , Floors: 2 , Other Main Features"," Bedrooms: 5 , Bathrooms: 6 , Servant Quarters: 1 , Drawing Room , Dining Room , Kitchens: 2 , Study Room , Prayer Room , Powder Room  , Gym , Store Rooms: 1 , Steam Room , Lounge or Sitting Room , Laundry Room , Other Rooms"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom , Other Business and Communication Facilities"," Lawn or Garden , Swimming Pool , Sauna , Jacuzzi , Other Healthcare and Recreation Facilities"," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service , Other Nearby Places"," Maintenance Staff , Security Staff , Facilities for Disabled , Other Facilities",hot,Islamabad-3-14,3/31/2019 23:25
334,5 Marla Excellent House For Sale In Bahria Enclave  Sector B1 Islamabad,"Bahria Enclave - Sector B1, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",House,PKR   1.4 Crore,"Bahria Town, Islamabad, Islamabad Capital",4,5 Marla,For Sale,3,5 days ago,"5 Marla Excellent House For Sale In Bahria Enclave - Sector B1 Islamabad. House Construction by Owner. Having 3 Bed Attach bath,  Kitchen,TV Lounge, D/D. Car Parking. Very Good location for living and investment. Prime location St#30 Solid land. Reasonable demand. More House available in all sectors. The Best Option For Investment. Available At Reasonable Price. That Is A Prime Location Property. Please Feel Free To Call Us If You Need Further Details About It. We Request That Only Serious Individuals Contact Us To Make An Immediate Deal, And Please Do Not Forget To Mention Zameen. com When Calling."," Built in year: 2018 , Parking Spaces: 1 , Flooring"," Bedrooms: 3 , Bathrooms: 3 , Servant Quarters: 1 , Drawing Room , Dining Room , Kitchens: 2 , Powder Room  , Lounge or Sitting Room"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom", ," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service"," Maintenance Staff , Security Staff",hot,Islamabad-3-14,3/31/2019 23:25
335,Direct Owner Brand New 10 Marla Double Unit House For Sale Bahria Enclave Sector A,"Bahria Enclave - Sector A, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",House,PKR   2.7 Crore,"Bahria Town, Islamabad, Islamabad Capital",6,10 Marla,For Sale,6,5 days ago,"- 6 bedrooms with attached bathrooms- 35*70 Size- Beacon House School, Parks, Zoo, Restaurants, Bank, Mosque and Commercial Area on Walking Distance- 2 car parking spaces- Category A build- Security Surveillance Installed- Solid frame wood and heavy doors"," Built in year: 2018 , Parking Spaces: 2 , Flooring , Electricity Backup , Waste Disposal , Other Main Features"," Bedrooms: 6 , Bathrooms: 6 , Servant Quarters: 1 , Drawing Room , Dining Room , Kitchens: 2 , Store Rooms: 2 , Lounge or Sitting Room"," Broadband Internet Access , Intercom", ," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Other Nearby Places"," Maintenance Staff , Security Staff",hot,Islamabad-3-14,3/31/2019 23:25
336,E 114 CORNER House 500 Yards Brand New  Architect Design Triple Story House FURNISHED AND UN FURNISHED OPEN OPTION AVAILABLE FOR SALE 50 Ft Road Completely Imported Fitting  Fixtures   Prime location  8 Bedrooms Attached Stylish with Chagozi TUB  Bath Roo,"E-11/4, E-11, Islamabad, Islamabad Capital",House,PKR   8.5 Crore,"E-11, Islamabad, Islamabad Capital",9,1 Kanal,For Sale,8,5 days ago,"E -11/4 CORNER House 500 Yards Brand New  Architect Design Triple Story House FURNISHED AND UN FURNISHED OPEN OPTION AVAILABLE FOR SALE50 Ft Road Completely Imported Fitting & Fixtures  Prime location 8 Bedrooms Attached Stylish with Chagozi TUB  Bath Rooms TWO Drawing Dining, POWDER ROOM(All Rooms Split Ac Inventor fitted Complete Heating System) Cinema Hall Three TV Lounge Two American style Kitchen Two Servant quarter Double Gate Laundry Store Two Servant Quarter Beautiful Green lawn huge Car Parking Spaces Very Reasonable Price . Contact only Serious Buyers Negotiable Price Call us for more details. Contact Al Hafiz Estate"," Built in year: 2017 , Flooring , Electricity Backup , Waste Disposal , Floors: 3"," Bedrooms: 8 , Bathrooms: 8 , Servant Quarters: 2 , Drawing Room , Dining Room , Kitchens: 2 , Study Room , Prayer Room , Powder Room  , Store Rooms: 1 , Lounge or Sitting Room , Laundry Room , Other Rooms"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom"," Lawn or Garden , Jacuzzi"," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service , Other Nearby Places", ,hot,Islamabad-3-14,3/31/2019 23:25
337,Owner build brand New dreamy House for sale in Sector C DHA phase 2 Islamabad,"DHA Defence, Islamabad, Islamabad Capital",House,PKR   5.35 Crore,"DHA Defence, Islamabad, Islamabad Capital",5,1 Kanal,For Sale,5,5 days ago,"AL. Ahram Property Advisor OffersAbout Property: 500 Sq Yard Highly Top Of The Line House Owner Built House. * 500 Yards Beautifully Designed House . . Could Be Used As 2 Unit House Or 1 Unit* Most Ideal Dimensions 50/90 * South face . * With Patio Area . . * 5  Bedroom Planing . . * 5 Bedrooms Accommodation . . * Powder Washroom . . * Maid Room With Washroom . . * 1 Proper Kitchen With Grease Kitchen On Ground Floor . . * 1 Proper Kitchen On First Floor . .  Assh Wood work done* A Grade Kitchen Appliances / Sanitary & Fixtures . . * Well Maintained Garden . . * Parking For 2 Cars . . * Servant Quarters Also --------------MOST PREFERRED & PRIME LOCATION . . DHA phase 2 Islamabad Sector C Street # 5Asking Price: 5 cror 35 lacsAbout DHA:Defence Housing Authority, Or DHA Is A Public Benefit Corporation That Governs Housing And Municipal Services For Defence Neighborhoods Across Pakistan. The DHA Allows The Construction Of Houses And Commercial Buildings According To Defined Parameters, To Create Safe And Environment Friendly Infrastructure. CONTACT US FOR FURTHER DETAILS & VIEWINGS . . ."," Built in year: 2019 , Parking Spaces: 2 , Flooring , Waste Disposal"," Bedrooms: 5 , Bathrooms: 5 , Drawing Room , Dining Room , Kitchens: 2 , Prayer Room , Store Rooms , Lounge or Sitting Room , Laundry Room", , Lawn or Garden," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Nearby Public Transport Service", Security Staff,hot,Islamabad-3-14,3/31/2019 23:25
